,Club,Leauge,Attack,Midfield,Defence,Overall
1,Liverpool,Premier League,86,83,80,85
2,Manchester City,Premier League,85,86,83,85
3,Real Madrid,LaLiga Santander,84,86,84,85
4,FC Bayern München,Bundesliga,92,85,82,84
5,Paris Saint-Germain,Ligue 1 Uber Eats,87,82,82,84
6,Juventus,Serie A TIM,87,81,83,83
7,Atlético de Madrid,LaLiga Santander,85,82,83,83
8,FC Barcelona,LaLiga Santander,84,82,81,83
9,Tottenham Hotspur,Premier League,89,82,81,82
10,Manchester United,Premier League,83,82,82,82
11,Inter,Serie A TIM,83,81,83,82
12,Chelsea,Premier League,82,84,82,82
13,Borussia Dortmund,Bundesliga,87,81,81,81
14,Sevilla FC,LaLiga Santander,80,81,82,81
15,Arsenal,Premier League,83,79,79,80
16,Napoli,Serie A TIM,82,80,80,80
17,Lazio,Serie A TIM,82,80,79,80
18,Villarreal CF,LaLiga Santander,82,79,79,80
19,Leicester City,Premier League,80,81,79,80
20,RB Leipzig,Bundesliga,78,81,80,80
21,Milan,Serie A TIM,84,78,80,79
22,Atalanta,Serie A TIM,82,79,78,79
23,Real Sociedad,LaLiga Santander,81,81,77,79
24,Everton,Premier League,81,79,80,79
25,Athletic Club,LaLiga Santander,80,78,79,79
26,Borussia Mönchengladbach,Bundesliga,78,79,80,79
27,Bayer 04 Leverkusen,Bundesliga,78,78,78,79
28,Wolverhampton Wanderers,Premier League,77,81,78,79
29,SL Benfica,Liga NOS,77,79,78,79
30,Ajax,Eredivisie,80,77,76,78
